Distribution;Votes;Rank;Title
0000000223;28514;8.1;Idi i smotri (1985)
0000001222;68324;8.1;It Happened One Night (1934)
0000001222;284125;8.1;Life of Brian (1979)
0000001321;303636;8.1;Platoon (1986)
0000001321;330883;8.1;Rush (2013/I)
0000001321;275255;8.1;Hotel Rwanda (2004)
0000001321;831508;8.1;Shutter Island (2010)
0000001222;108727;8.1;Network (1976)
0000001222;37186;8.1;Le salaire de la peur (1953)
0000001321;103487;8.1;Relatos salvajes (2014)
0000001321;284427;8.1;Stand by Me (1986)
0000001321;115889;8.1;In the Name of the Father (1993)
0000001321;247749;8.1;Spotlight (2015/I)
0000001221;44376;8.1;Manchester by the Sea (2016)
0000001222;73688;8.1;Les quatre cents coups (1959)
0000001321;158863;8.1;Butch Cassidy and the Sundance Kid (1969)
0000001222;607608;8.1;Mad Max: Fury Road (2015)
0000001222;634988;8.1;Star Wars: Episode VII - The Force Awakens (2015)
0000001222;27831;8.1;Le notti di Cabiria (1957)
0000001321;470018;8.1;12 Years a Slave (2013)
0000001221;118266;8.1;The Maltese Falcon (1941)
0000001222;169429;8.1;Ben-Hur (1959)
0000001321;513045;8.1;The Grand Budapest Hotel (2014)
0000001221;203519;8.1;Arrival (2016/II)
0000001222;65749;8.1;Persona (1966)
0000001321;504124;8.1;Million Dollar Baby (2004)
0000001321;180424;8.1;Amores perros (2000)
0000001321;647021;8.1;Jurassic Park (1993)
0000001222;306625;8.1;The Princess Bride (1987)
0000001321;72997;8.1;Salinui chueok (2003)
0000001222;170134;8.1;Hachi: A Dog's Tale (2009)
0000001123;72784;8.1;Stalker (1979)
0000001222;102091;8.1;Kaze no tani no Naushika (1984)
0000001321;702379;8.0;The Truman Show (1998)
0000001222;66188;8.0;The Grapes of Wrath (1940)
0000001222;194214;8.0;Before Sunrise (1995)
0000000124;36346;8.0;Drishyam (2015)
0000001222;76138;8.0;Touch of Evil (1958)
0000001222;202652;8.0;Annie Hall (1977)
0000001321;395613;8.0;Rocky (1976)
0000001222;574263;8.0;Harry Potter and the Deathly Hallows: Part 2 (2011)
0000001321;179187;8.0;Gandhi (1982)
0000001321;44276;8.0;Les diaboliques (1955)
0000001321;515214;8.0;The Bourne Ultimatum (2007)
0000001222;606282;8.0;Donnie Darko (2001)
0000000115;34303;8.0;The Message (1976)
0000001321;617528;8.0;Monsters, Inc. (2001)
0000001321;415009;8.0;Prisoners (2013)
0000001212;82240;8.0;8½ (1963)
0000001321;626993;8.0;The Terminator (1984)
0000001212;303791;8.0;The Wizard of Oz (1939)
0000001321;460100;8.0;Groundhog Day (1993)
0000001321;565928;8.0;Catch Me If You Can (2002)
0000001321;481041;8.0;Twelve Monkeys (1995)
0000001321;109209;8.0;La haine (1995)
0000001321;262419;8.0;Zootopia (2016)
0000001222;106726;8.0;Barry Lyndon (1975)
0000001211;432008;8.0;Jaws (1975)
0000001222;42117;8.0;The Best Years of Our Lives (1946)
0000001321;95652;8.0;Mou gaan dou (2002)
0000001222;39609;8.0;La battaglia di Algeri (1966)
0000001321;189992;8.0;Dog Day Afternoon (1975)
0000001321;101089;8.0;Strangers on a Train (1951)
0000001222;32991;8.0;Udaan (2010)
0000001321;333926;8.0;The Help (2011)
0000001221;677431;8.0;Sin City (2005)
0000001222;28486;8.0;Kind Hearts and Coronets (1949)
0000001222;30735;8.0;Song of the Sea (2014)
0000001321;842291;8.0;Pirates of the Caribbean: The Curse of the Black Pearl (2003)
